
-------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level   |         Upper level         |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |----------------|-----------------------------|    |
          Air (nm)  |       |           |      |                                | Conf.   | Term | Conf.               | Term  |    |
           324.953  |   220 |           |      |                                |         |      |                     |       |    |
           326.247  |   120 |           |      |                                |         |      |                     |       |    |
           329.105  |   160 |           |      |                                |         |      |                     |       |    |
           330.612  |   210 |           |      |                                |         |      |                     |       |    |
           330.919  |   120 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           331.027  |   340 |           |      |                                |         |      |                     |       |    |
           331.286  |   670 |           |      |                                |         |      |                     |       |    |
           333.273  |   890 |           |      |                                |         |      |                     |       |    |
           335.678  |   130 |           |      |                                |         |      |                     |       |    |
           335.891  |   230 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           336.006  |   180 |           |      |                                |         |      |                     |       |    |
           336.668  |   140 |           |      |                                |         |      |                     |       |    |
           337.893  |   180 |           |      |                                |         |      |                     |       |    |
           338.621  |   170 |           |      |                                |         |      |                     |       |    |
           339.281  |   230 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           339.726  |   230 |           |      |                                |         |      |                     |       |    |
           339.760  |   230 |           |      |                                |         |      |                     |       |    |
           340.021  |   170 |           |      |                                |         |      |                     |       |    |
           340.251  |   180 |           |      |                                |         |      |                     |       |    |
           341.734  |   230 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           341.918  |   410 |           |      |                                |         |      |                     |       |    |
           342.744  |   140 |           |      |                                |         |      |                     |       |    |
           343.843  |   140 |           |      |                                |         |      |                     |       |    |
           344.184  |   100 |           |      |                                |         |      |                     |       |    |
           345.231  |   100 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           346.760  |   140 |           |      |                                |         |      |                     |       |    |
           347.240  |   710 |           |      |                                |         |      |                     |       |    |
           349.716  |   250 |           |      |                                |         |      |                     |       |    |
           349.749  |   980 |           |      |                                |         |      |                     |       |    |
           349.898  |   100 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           351.328  |   150 |           |      |                                |         |      |                     |       |    |
           352.302  |   980 |           |      |                                |         |      |                     |       |    |
           353.087  |   100 |           |      |                                |         |      |                     |       |    |
           353.123  |   100 |           |      |                                |         |      |                     |       |    |
           353.662  |   760 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           354.881  |   180 |           |      |                                |         |      |                     |       |    |
           355.400  |   150 |           |      |                                |         |      |                     |       |    |
           356.431  |   150 |           |      |                                |         |      |                     |       |    |
           356.736  |   270 |           |      |                                |         |      |                     |       |    |
           357.990  |   150 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           358.328  |   110 |           |      |                                |         |      |                     |       |    |
           359.987  |   540 |           |      |                                |         |      |                     |       |    |
           361.504  |   110 |           |      |                                |         |      |                     |       |    |
           361.689  |   800 |           |      |                                |         |      |                     |       |    |
           361.768  |   110 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           363.543  |   100 |           |      |                                |         |      |                     |       |    |
           364.910  |   320 |           |      |                                |         |      |                     |       |    |
           365.184  |   200 |           |      |                                |         |      |                     |       |    |
           366.821  |   100 |           |      |                                |         |      |                     |       |    |
