
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                              Observed  |    Rel. |     Aki    | Acc. |                  Ei           Ek                   |           Lower level           |           Upper level            |Type|
          |                             Wavelength |    Int. |     s^-1   |      |                 (eV)         (eV)                  |---------------------------------|----------------------------------|    |
          |                              Vac (nm)  |         |            |      |                                                    | Conf.                 | Term    | Conf.                  | Term    |    |
V III     |                     114.994            |     500 |            |      |                                                    |                       |         |                        |         |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V III     |                     115.718            |     400 |            |      |                                                    |                       |         |                        |         |    |
V V       |                     115.7575           |      25 |            |      |    25.746558            -     36.457210            | 3p6.4p                | 2P*     | 3p6.4d                 | 2D      |    |
V V       |                     115.9516           |       6 |            |      |    25.746558            -     36.439309            | 3p6.4p                | 2P*     | 3p6.4d                 | 2D      |    |
V III     |                     116.077            |     300 |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     118.4130           |       0 |            |      |    77.31586             -     87.78634             | 3s2.3p5.4p            | 3P      | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     118.8159           |       9 |            |      |    69.13806             -     79.57309             | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.4p             | 1S      |    |
V V       |                     118.8161           |       6 |            |      |    41.18731             -     51.622279            | 3p5.(2P*).3d2.(1D)    | 2F*     | 3p6.5g                 | 2G      |    |
V IV      |                     119.4462           |      20 | 1.0e+09    | D    |    19.08349             -     29.46345             | 3p6.3d.4p             | 1F*     | 3p6.3d.5s              | 1D      |    |
V VI      |                     119.4950           |       0 |            |      |    77.31586             -     87.69158             | 3s2.3p5.4p            | 3P      | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* |    |
H I       |                     121.56699          |         | 6.2648e+08 | AAA  |     0.0000000000000     -     10.19885106866       | 1s                    | 2S      | 2p                     | 2P*     |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
H I       |                     121.56699          |         | 6.2649e+08 | AAA  |     0.0000000000000     -     10.19880570432       | 1s                    | 2S      | 2p                     | 2P*     |    |
H I       |                     121.56701          |  840000 | 4.6986e+08 | AAA  |     0.0000000000000     -     10.1988353           | 1s                    | 2S      | 2                      |         |    |
H I       |                     121.5673123130200  |         | 2.495e-06  | AAA  |     0.0000000000000     -     10.19881007922431    | 1s                    | 2S      | 2s                     | 2S      | M1 |
V VI      |                     122.5178           |       3 |            |      |    79.57309             -     89.69284             | 3s2.3p5.4p            | 1S      | 3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* |    |
V IV      |                     122.6523           |      60 | 1.5e+09    | D    |    17.88758             -     27.99614             | 3p6.3d.4p             | 1D*     | 3p6.3d.4d              | 1D      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     124.2248           |       3 |            |      |    18.11629             -     28.09694             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     124.3718           |      10 | 9.4e+08    | D    |    18.11629             -     28.08510             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     124.4287           |       2 |            |      |    18.15492             -     28.11916             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     124.7069           |      30 | 4.7e+08    | D    |    18.15492             -     28.09694             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     125.0918           |      20 | 3.3e+08    | D    |    18.20771             -     28.11916             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3P      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V III     |                     125.211            |     500 |            |      |                                                    |                       |         |                        |         |    |
V III     |                     125.401            |     400 |            |      |                                                    |                       |         |                        |         |    |
V V       |                     126.0278           |       1 |            |      |    41.784234            -     51.622095            | 3p5.(2P*).3d2.(1D)    | 2F*     | 3p6.5g                 | 2G      |    |
V IV      |                     127.1153           |       2 |            |      |    18.24244             -     27.99614             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 1D      |    |
V IV      |                     127.2972           |      30 | 2.7e+09    | D    |    19.28766             -     29.02740             | 3p6.3d.4p             | 1P*     | 3p6.3d.4d              | 1S      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     127.3529           |      10 |            |      |    17.88758             -     27.62301             | 3p6.3d.4p             | 1D*     | 3p6.3d.4d              | 3F      |    |
V III     |                     128.787            |     500 |            |      |                                                    |                       |         |                        |         |    |
V III     |                     128.942            |     400 |            |      |                                                    |                       |         |                        |         |    |
V III     |                     129.077            |     300 |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     129.3483           |       4 |            |      |    67.73058             -     77.31586             | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.4p             | 3P      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     130.4173           |      30 | 1.5e+09    | D    |    18.11629             -     27.62301             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     130.5420           |      40 | 7.0e+08    | D    |    18.15492             -     27.65257             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     130.8061           |      50 | 7.9e+08    | D    |    18.20771             -     27.68624             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     130.9502           |      10 | 8.7e+08    | D    |    18.15492             -     27.62301             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     131.2717           |      20 | 8.6e+08    | D    |    18.20771             -     27.65257             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3F      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V III     |                     131.327            |     300 |            |      |                                                    |                       |         |                        |         |    |
V III     |                     131.335            |     400 |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     131.7566           |       5 | 8.7e+08    | D    |    18.24244             -     27.65257             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     132.1719           |      10 | 9.4e+07    | D    |    18.24244             -     27.62301             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     132.1917           |      10 | 9.9e+08    | D    |    18.30707             -     27.68624             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     132.6666           |       5 | 1.2e+08    | D    |    18.30707             -     27.65257             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     132.6807           |       5 | 4.0e+08    | D    |    18.77455             -     28.11916             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     132.9288           |      10 | 1.5e+09    | D    |    18.79195             -     28.11916             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     132.9968           |      10 | 4.8e+08    | D    |    18.77455             -     28.09694             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
V IV      |                     133.0355           |      10 | 6.0e+08    | D    |    18.77729             -     28.09694             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     133.1665           |         | 1.7e+09    | D    |    18.77455             -     28.08510             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
V III     |                     133.199            |     500 |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     133.2459           |       3 | 7.5e+08    | D    |    18.79195             -     28.09694             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 3P      |    |
V VI      |                     133.4039           |       1 |            |      |    79.57309             -     88.86696             | 3s2.3p5.4p            | 1S      | 3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* |    |
V IV      |                     133.4493           |         | 8.3e+08    | D    |    18.39544             -     27.68624             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V III     |                     133.512            |     500 |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     133.9335           |       5 | 7.5e+07    | D    |    18.39544             -     27.65257             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3F      |    |
V IV      |                     134.4493           |         |            |      |    18.77455             -     27.99614             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 1D      |    |
V IV      |                     134.7030           |       1 |            |      |    18.79195             -     27.99614             | 3p6.3d.4p             | 3P*     | 3p6.3d.4d              | 1D      |    |
V IV      |                     135.5131           |      80 | 2.5e+09    | D    |    19.08349             -     28.23275             | 3p6.3d.4p             | 1F*     | 3p6.3d.4d              | 1G      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     135.6529           |      10 | 4.9e+08    | D    |    17.88758             -     27.02740             | 3p6.3d.4p             | 1D*     | 3p6.3d.4d              | 1P      |    |
V VI      |                     136.1923           |       3 |            |      |    68.10437             -     77.20799             | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.4p             | 1D      |    |
V VI      |                     138.0105           |       5 |            |      |    68.10437             -     77.08805             | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.4p             | 3P      |    |
V IV      |                     139.1105           |      20 | 1.4e+08    | D    |    19.08349             -     27.99614             | 3p6.3d.4p             | 1F*     | 3p6.3d.4d              | 1D      |    |
V IV      |                     139.5001           |      60 | 1.4e+09    | D    |    17.88758             -     26.77534             | 3p6.3d.4p             | 1D*     | 3p6.3d.4d              | 1F      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     140.0416           |       5 | 7.5e+08    | D    |    18.15492             -     27.00826             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3G      |    |
V IV      |                     140.3618           |       8 | 8.4e+08    | D    |    18.20771             -     27.04095             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3G      |    |
V VI      |                     140.4376           |    10bl |            |      |    67.73058             -     76.55900             | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.4p             | 3P      |    |
V VI      |                     140.8381           |       3 |            |      |    89.37227             -     98.17559             | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 3s2.3p5.(2P*<1/2>).4f  | 2[7/2]  |    |
V IV      |                     140.8639           |       8 | 1.7e+08    | D    |    18.11629             -     26.91796             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V IV      |                     141.0018           |       8 |            |      |    18.15492             -     26.94796             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
V VI      |                     141.0054           |       3 |            |      |    88.20560             -     96.99846             | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 3s2.3p5.(2P*<3/2>).4f  | 2[9/2]  |    |
V IV      |                     141.2686           |      20 | 1.1e+09    | D    |    18.11629             -     26.89279             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
V IV      |                     141.4409           |      50 | 1.2e+09    | D    |    18.24244             -     27.00826             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3G      |    |
V IV      |                     141.4842           |      20 | 4.6e+08    | D    |    18.15492             -     26.91796             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
V VI      |                     141.6416           |       5 |            |      |    88.11497             -     96.86834             | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 3s2.3p5.(2P*<3/2>).4f  | 2[9/2]  |    |
V IV      |                     141.8533           |      30 | 5.2e+08    | D    |    18.20771             -     26.94796             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
V IV      |                     141.8921           |      10 | 3.8e+08    | D    |    18.15492             -     26.89279             | 3p6.3d.4p             | 3D*     | 3p6.3d.4d              | 3D      |    |
V IV      |                     141.9580           |      80 | 1.3e+09    | D    |    18.30707             -     27.04095             | 3p6.3d.4p             | 3F*     | 3p6.3d.4d              | 3G      |    |
V VI      |                     142.3100           |       3 |            |      |    87.69158             -     96.40383             | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* | 3s2.3p5.(2P*<3/2>).4f  | 2[3/2]  |    |
          |                                        |         |            |      |                                                    |                       |         |                        |         |    |
