
-----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
           210.1538   |    50 |           |      |    0.412313    -     6.310066   | 5d4.6s2        | 5D   |                | *    |    |
           210.265    |     8 |           |      |    0.365913    -     6.260525   | 5d5.(6S).6s    | 7S   |                | *    |    |
           210.2977   |     3 |           |      |                                 |                |      |                |      |    |
           210.337    |     5 |           |      |                                 |                |      |                |      |    |
           210.408    |    15 |           |      |    1.507891    -     7.398548   | 5d4.6s2        | 3H   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           210.540    |    50 |           |      |    0.207090    -     6.094064   | 5d4.6s2        | 5D   |                | *    |    |
           210.575    |    25 |           |      |    0.412313    -     6.298452   | 5d4.6s2        | 5D   |                | *    |    |
           210.657    |    15 |           |      |    1.868433    -     7.751990   | 5d4.6s2        | 3H   |                | *    |    |
           210.694    |     8 |           |      |                                 |                |      |                |      |    |
           210.786    |    15 |           |      |    0.598844    -     6.478893   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           210.931    |    60 |           |      |    0.412313    -     6.288342   | 5d4.6s2        | 5D   |                | *    |    |
           210.989    |    12 |           |      |                                 |                |      |                |      |    |
           211.113    |    15 |           |      |    0.365913    -     6.236874   | 5d5.(6S).6s    | 7S   |                | *    |    |
           211.247    |     6 |           |      |    0.598844    -     6.466101   | 5d4.6s2        | 5D   |                | *    |    |
           211.482    |     8 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           211.549    |     3 |           |      |    0.00000     -     5.858941   | 5d4.6s2        | 5D   |                | *    |    |
           211.630    |    40 |           |      |    1.507891    -     7.364629   | 5d4.6s2        | 3H   |                | *    |    |
           211.644    |   30* |           |      |    0.365913    -     6.222234   | 5d5.(6S).6s    | 7S   |                | *    |    |
           211.644    |   30* |           |      |    0.598844    -     6.455123   | 5d4.6s2        | 5D   |                | *    |    |
           211.663    |    20 |           |      |    0.598844    -     6.454590   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           211.759    |    30 |           |      |    0.412313    -     6.265361   | 5d4.6s2        | 5D   |                | *    |    |
           211.862    |    25 |           |      |    0.598844    -     6.449073   | 5d4.6s2        | 5D   |                | *    |    |
           211.930    |  120* |           |      |    0.771099    -     6.619568   | 5d4.6s2        | 5D   |                | *    |    |
           211.930    |  120* |           |      |    0.412313    -     6.260525   | 5d4.6s2        | 5D   |                | *    |    |
           212.074    |    12 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           212.127    |     3 |           |      |    0.771099    -     6.614001   | 5d4.6s2        | 5D   |                | *    |    |
           212.160    |  100c |           |      |    0.207090    -     6.048948   | 5d4.6s2        | 5D   |                | *    |    |
           212.237    |    20 |           |      |    1.507891    -     7.347753   | 5d4.6s2        | 3H   |                | *    |    |
           212.315    |    30 |           |      |    1.868433    -     7.706176   | 5d4.6s2        | 3H   |                | *    |    |
           212.486    |   20w |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           212.495    |     6 |           |      |                                 |                |      |                |      |    |
           212.536    |     3 |           |      |    1.655010    -     7.486797   | 5d4.6s2        | 3G   |                | *    |    |
           212.579    |    15 |           |      |    0.598844    -     6.429337   | 5d4.6s2        | 5D   |                | *    |    |
           212.6114   |    25 |           |      |    0.771099    -     6.600721   | 5d4.6s2        | 5D   |                | *    |    |
           212.6544   |     6 |           |      |    1.507891    -     7.336357   | 5d4.6s2        | 3H   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           212.755    |     3 |           |      |    1.507891    -     7.333615   | 5d4.6s2        | 3H   |                | *    |    |
           212.7957   |    15 |           |      |    0.412313    -     6.236874   | 5d4.6s2        | 5D   |                | *    |    |
           212.8122   |    50 |           |      |    0.771099    -     6.595246   | 5d4.6s2        | 5D   |                | *    |    |
           212.900    |    10 |           |      |                                 |                |      |                |      |    |
           213.005    |    20 |           |      |    0.207090    -     6.026058   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           213.1526   |     8 |           |      |    0.771099    -     6.585828   | 5d4.6s2        | 5D   |                | *    |    |
           213.317    |     1 |           |      |    0.598844    -     6.409220   | 5d4.6s2        | 5D   |                | *    |    |
           213.332    |     3 |           |      |    0.412313    -     6.222234   | 5d4.6s2        | 5D   |                | *    |    |
           213.365    |    30 |           |      |                                 |                |      |                |      |    |
           213.5625   |     6 |           |      |    1.655010    -     7.458681   | 5d4.6s2        | 3G   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           213.5875   |     8 |           |      |                                 |                |      |                |      |    |
           213.7135   |    20 |           |      |    0.598844    -     6.398425   | 5d4.6s2        | 5D   |                | *    |    |
           213.7400   |    10 |           |      |    0.598844    -     6.397649   | 5d4.6s2        | 5D   |                | *    |    |
           213.871    |    10 |           |      |    1.507891    -     7.303162   | 5d4.6s2        | 3H   |                | *    |    |
           213.953    |     8 |           |      |    0.771099    -     6.564155   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           213.973    |    15 |           |      |    0.207090    -     5.999590   | 5d4.6s2        | 5D   |                | *    |    |
           214.1222   |    15 |           |      |    1.507891    -     7.296333   | 5d4.6s2        | 3H   |                | *    |    |
           214.1307   |     6 |           |      |    0.365913    -     6.154144   | 5d5.(6S).6s    | 7S   |                | *    |    |
           214.292    |     2 |           |      |    1.655010    -     7.438940   | 5d4.6s2        | 3G   |                | *    |    |
           214.300    |    20 |           |      |    0.207090    -     5.990772   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           214.3257   |    15 |           |      |    0.598844    -     6.381843   | 5d4.6s2        | 5D   |                | *    |    |
           214.336    |    10 |           |      |    0.412313    -     6.194998   | 5d4.6s2        | 5D   |                | *    |    |
           214.450    |    12 |           |      |    1.507891    -     7.287518   | 5d4.6s2        | 3H   |                | *    |    |
           214.549    |     6 |           |      |    0.207090    -     5.984050   | 5d4.6s2        | 5D   |                | *    |    |
           214.643    |   35r |           |      |    0.207090    -     5.981529   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           214.731    |    35 |           |      |    0.771099    -     6.543154   | 5d4.6s2        | 5D   |                | *    |    |
           214.753    |    12 |           |      |                                 |                |      |                |      |    |
           214.8716   |     6 |           |      |    2.108785    -     7.877060   | 5d4.6s2        | 3H   |                | *    |    |
           215.068    |     2 |           |      |    1.507891    -     7.270941   | 5d4.6s2        | 3H   |                | *    |    |
           215.1075   |     8 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           215.144    |     8 |           |      |    1.868433    -     7.629429   | 5d4.6s2        | 3H   |                | *    |    |
           215.192    |     5 |           |      |                                 |                |      |                |      |    |
           215.486    |     5 |           |      |                                 |                |      |                |      |    |
           215.5690   |    20 |           |      |    0.412313    -     6.161960   | 5d4.6s2        | 5D   |                | *    |    |
           215.669    |     2 |           |      |    0.598844    -     6.345806   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
