
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |    Rel. |    Aki    | Acc. |           Ei           Ek            |        Lower level         |         Upper level         |Type|
          |             Wavelength |    Int. |    s^-1   |      |          (eV)         (eV)           |----------------------------|-----------------------------|    |
          |              Vac (nm)  |         |           |      |                                      | Conf.              | Term  | Conf.               | Term  |    |
I I       |            126.1268    |    7700 |           |      |     0.000000     -      9.8301206    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).7s  | 2[1]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            126.7569    |    6100 |           |      |     0.000000     -      9.7812602    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).7s  | 2[1]  |    |
I I       |            126.7596    |    6100 |           |      |     0.000000     -      9.7810536    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[1]  |    |
I I       |            127.5255    |   16000 |           |      |     0.000000     -      9.7223036    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<0>).7s  | 2[0]  |    |
I I       |            128.9395    |   35000 |           |      |     0.000000     -      9.6156963    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).8s  | 2[2]  |    |
I I       |            130.0335    |  130000 |           |      |     0.000000     -      9.5347897    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[2]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            130.2983    |   39000 |           |      |     0.000000     -      9.5154121    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[2]  |    |
I III     |            130.693     |       5 |           |      |                                      |                    |       |                     |       |    |
I I       |            131.3947    |   41000 |           |      |     0.000000     -      9.4360089    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[3]  |    |
I I       |            131.7542    |   42000 |           |      |     0.000000     -      9.4102630    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[2]  |    |
I I       |            133.0189    |   31000 |           |      |     0.000000     -      9.3207888    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[3]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            133.6517    |   20000 |           |      |     0.8786621    -     10.155276     | 5s2.5p4            | 3P    | 5s.5p5              | 3P*   |    |
I I       |            135.5099    |   89000 |           |      |     0.000000     -      9.1494541    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<0>).5d  | 2[2]  |    |
I I       |            135.7971    |   54000 |           |      |     0.000000     -      9.1301092    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<0>).5d  | 2[2]  |    |
I I       |            136.0965    |   92000 |           |      |     0.000000     -      9.1100900    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).5d  | 2[0]  |    |
I I       |            136.1111    |   20000 |           |      |     0.9426481    -     10.0517227    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).5d  | 2[1]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            136.7714    |   48000 |           |      |     0.000000     -      9.0650803    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[1]  |    |
I I       |            136.8217    |   17000 |           |      |     0.9426481    -     10.004401     | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).8d  | 2[1]  |    |
I I       |            138.3225    |   84000 |           |      |     0.000000     -      8.9634225    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7s  | 2[2]  |    |
I I       |            139.0750    |   66000 |           |      |     0.000000     -      8.9149267    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7s  | 2[2]  |    |
I I       |            139.2898    |   16000 |           |      |     0.9426481    -      9.8438362    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[2]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            140.0014    |   17000 |           |      |     0.9426481    -      9.7985938    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).7d  | 2[1]  |    |
I I       |            142.5490    |  210000 |           |      |     0.000000     -      8.6976400    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[2]  |    |
I I       |            144.6261    |   53000 |           |      |     0.9426481    -      9.5154121    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[2]  |    |
I I       |            145.3179    |   55000 |           |      |     0.9426481    -      9.4745972    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[1]  |    |
I I       |            145.7389    | 160000* |           |      |     0.000000     -      8.5072664    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[0]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            145.7471    | 160000* |           |      |                                      |                    |       |                     |       |    |
I I       |            145.7981    |  310000 |           |      |     0.000000     -      8.5038103    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).6s  | 2[2]  |    |
I I       |            145.8794    |   78000 |           |      |     0.000000     -      8.4990846    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).6s  | 2[2]  |    |
I I       |            145.9145    |   45000 |           |      |     0.9426481    -      9.4397105    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6d  | 2[1]  |    |
I I       |            146.5828    |   29000 |           |      |     0.9426481    -      9.4009662    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[2]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            148.5918    |   36000 |           |      |     0.000000     -      8.3439289    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[1]  |    |
I I       |            149.2888    |   67000 |           |      |     0.9426481    -      9.2476605    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[1]  |    |
I I       |            150.7041    |  200000 |           |      |     0.000000     -      8.2269827    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[1]  |    |
I I       |            151.4682    |  200000 |           |      |     0.000000     -      8.1854946    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[3]  |    |
I I       |            151.8048    |  230000 |           |      |     0.9426481    -      9.1100900    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).5d  | 2[0]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            152.6448    |   39000 |           |      |     0.9426481    -      9.0650803    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).5d  | 2[1]  |    |
I I       |            159.3582    |  100000 |           |      |     0.9426481    -      8.7228873    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[2]  |    |
I I       |            161.7606    |  310000 |           |      |     0.000000     -      7.6646754    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).6s  | 2[1]  |    |
I I       |            164.0781    |   62000 |           |      |     0.9426481    -      8.4990846    | 5s2.5p5            | 2P*   | 5s2.5p4.(1D<2>).6s  | 2[2]  |    |
