
-------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |          Upper level          |Type|
          |          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------------|    |
          |           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.            | Term       |    |
Ir II     |           235.753   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           235.816   |   410 |           |      |                                |             |      |                  |            |    |
Ir I      |           236.073   |   500 |           |      |                                |             |      |                  |            |    |
Ir I      |           236.304   |  2500 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir II     |           236.804   |   370 |           |      |   0.593628    -     5.827751   | 5d7.(4F).6s | 5F   | 5d7.(4F<9/2>).6p | (9/2,1/2)* |    |
Ir I      |           237.277   |  3500 |           |      |   0.00000     -     5.223680   | 5d7.6s2     | a 4F |                  | 4213*      |    |
Ir II     |           237.509   |   290 |           |      |                                |             |      |                  |            |    |
Ir I      |           237.728   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           237.798   |   250 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           237.938   |   500 |           |      |                                |             |      |                  |            |    |
Ir I      |           238.162   |   540 |           |      |                                |             |      |                  |            |    |
Ir I      |           238.317   |   210 |           |      |                                |             |      |                  |            |    |
Ir II     |           238.658   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           238.689   |  1300 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           239.062   |  2500 |           |      |                                |             |      |                  |            |    |
Ir I      |           239.118   |  2700 |           |      |                                |             |      |                  |            |    |
Ir I      |           240.759   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           240.937   |   290 |           |      |                                |             |      |                  |            |    |
Ir I      |           241.017   |   290 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           241.073   |   290 |           |      |                                |             |      |                  |            |    |
Ir I      |           241.331   |   540 |           |      |                                |             |      |                  |            |    |
Ir I      |           241.586   |   370 |           |      |                                |             |      |                  |            |    |
Ir I      |           241.811   |   620 |           |      |                                |             |      |                  |            |    |
Ir I      |           242.432   |   120 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           242.466   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           242.489   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           242.499   |   370 |           |      |                                |             |      |                  |            |    |
Ir I      |           242.566   |   290 |           |      |                                |             |      |                  |            |    |
Ir II     |           242.653   |   170 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           242.761   |   540 |           |      |                                |             |      |                  |            |    |
Ir I      |           243.124   |   540 |           |      |                                |             |      |                  |            |    |
Ir I      |           243.194   |  1300 |           |      |                                |             |      |                  |            |    |
Ir I      |           243.236   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           243.258   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           243.514   |   270 |           |      |                                |             |      |                  |            |    |
Ir I      |           244.534   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           244.776   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           244.823   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           245.281   |   910 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           245.561   |  1300 |           |      |                                |             |      |                  |            |    |
Ir I      |           245.587   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           245.703   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           245.723   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           246.509   |   120 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           246.730   |   870 |           |      |                                |             |      |                  |            |    |
Ir I      |           247.512   |  3300 | 2.1e+07   |      |   0.00000     -     5.007700   | 5d7.6s2     | a 4F |                  | 4038*      |    |
Ir I      |           247.811   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           248.118   |  2100 |           |      |                                |             |      |                  |            |    |
Ir I      |           248.538   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           249.308   |   620 |           |      |                                |             |      |                  |            |    |
Ir I      |           249.627   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           250.263   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           250.298   |  4100 | 3.2e+07   |      |   0.00000     -     4.951962   | 5d7.6s2     | a 4F |                  | 3994*      |    |
Ir I      |           250.437   |   170 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           250.574   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           250.763   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           250.971   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           251.194   |   170 |           |      |                                |             |      |                  |            |    |
Ir II     |           251.258   |   170 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           251.371   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           251.536   |   120 |           |      |                                |             |      |                  |            |    |
Ir II     |           252.488   |    40 |           |      |                                |             |      |                  |            |    |
Ir I      |           252.505   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           253.252   |   120 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           253.313   |   990 |           |      |                                |             |      |                  |            |    |
Ir I      |           253.446   |  1100 |           |      |                                |             |      |                  |            |    |
Ir I      |           253.722   |   580 |           |      |                                |             |      |                  |            |    |
Ir I      |           253.768   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           254.148   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           254.202   |   580 |           |      |                                |             |      |                  |            |    |
Ir II     |           254.280   |    40 |           |      |                                |             |      |                  |            |    |
Ir I      |           254.397   |  7900 |           |      |   0.351493    -     5.223680   | 5d8.(3F).6s | b 4F |                  | 4213*      |    |
Ir I      |           254.554   |   150 |           |      |                                |             |      |                  |            |    |
Ir I      |           254.603   |   790 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           254.720   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           254.769   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           255.140   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           255.440   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           255.535   |   210 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           255.588   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           256.328   |   150 |           |      |                                |             |      |                  |            |    |
Ir I      |           256.418   |   910 |           |      |                                |             |      |                  |            |    |
Ir I      |           256.988   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           257.062   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           257.270   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           257.726   |   740 |           |      |                                |             |      |                  |            |    |
Ir I      |           257.871   |   100 |           |      |                                |             |      |                  |            |    |
Ir II     |           257.949   |    35 |           |      |                                |             |      |                  |            |    |
Ir I      |           259.206   |   740 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           259.904   |   740 |           |      |                                |             |      |                  |            |    |
Ir I      |           260.204   |   150 |           |      |                                |             |      |                  |            |    |
Ir I      |           260.455   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           260.752   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           260.825   |   700 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           261.130   |  1800 |           |      |                                |             |      |                  |            |    |
Ir I      |           261.498   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           261.778   |   330 |           |      |                                |             |      |                  |            |    |
Ir I      |           261.988   |   210 |           |      |                                |             |      |                  |            |    |
Ir II     |           262.364   |    70 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           262.532   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           262.676   |   100 |           |      |                                |             |      |                  |            |    |
Ir I      |           263.417   |   700 |           |      |                                |             |      |                  |            |    |
