
-------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |          Upper level          |Type|
          |          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------------|    |
          |           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.            | Term       |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           373.4770  |   280 | 2.7e+06   |      |                                |             |      |                  |            |    |
Ir I      |           373.853   |   130 |           |      |                                |             |      |                  |            |    |
Ir I      |           374.720   |   530 |           |      |                                |             |      |                  |            |    |
Ir I      |           379.379   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           380.012   |  3100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           381.724   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           386.564   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           390.251   |   480 |           |      |                                |             |      |                  |            |    |
Ir I      |           391.538   |   480 |           |      |                                |             |      |                  |            |    |
Ir I      |           393.484   |   400 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           394.627   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           397.631   |   590 |           |      |                                |             |      |                  |            |    |
Ir I      |           399.212   |   460 |           |      |                                |             |      |                  |            |    |
Ir I      |           402.003   |   180 |           |      |                                |             |      |                  |            |    |
Ir I      |           403.376   |   350 | 2.7e+06   |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           404.008   |   130 |           |      |                                |             |      |                  |            |    |
Ir I      |           406.992   |   370 | 3.6e+06   |      |                                |             |      |                  |            |    |
Ir I      |           407.068   |   150 |           |      |                                |             |      |                  |            |    |
Ir I      |           409.261   |   100 |           |      |                                |             |      |                  |            |    |
Ir I      |           411.578   |   140 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           412.792   |    23 |           |      |                                |             |      |                  |            |    |
Ir I      |           415.570   |    27 |           |      |                                |             |      |                  |            |    |
Ir I      |           416.604   |    15 |           |      |                                |             |      |                  |            |    |
Ir I      |           417.256   |    90 |           |      |                                |             |      |                  |            |    |
Ir I      |           418.247   |    35 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           418.321   |   15w |           |      |                                |             |      |                  |            |    |
Ir I      |           418.566   |    18 |           |      |                                |             |      |                  |            |    |
Ir I      |           419.754   |    23 |           |      |                                |             |      |                  |            |    |
Ir I      |           421.776   |    27 |           |      |                                |             |      |                  |            |    |
Ir I      |           422.080   |    13 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           425.911   |    75 |           |      |                                |             |      |                  |            |    |
Ir I      |           426.530   |    27 |           |      |                                |             |      |                  |            |    |
Ir I      |           426.810   |   260 |           |      |                                |             |      |                  |            |    |
Ir I      |           428.662   |    23 |           |      |                                |             |      |                  |            |    |
Ir I      |           430.160   |    75 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           431.059   |    55 |           |      |                                |             |      |                  |            |    |
Ir I      |           431.150   |   220 |           |      |                                |             |      |                  |            |    |
Ir I      |           435.130   |    18 |           |      |                                |             |      |                  |            |    |
Ir I      |           435.256   |    18 |           |      |                                |             |      |                  |            |    |
Ir I      |           439.259   |    18 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           439.947   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           440.378   |    65 |           |      |                                |             |      |                  |            |    |
Ir I      |           442.627   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           445.018   |    15 |           |      |                                |             |      |                  |            |    |
Ir I      |           447.848   |    55 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           449.535   |    16 |           |      |                                |             |      |                  |            |    |
Ir I      |           449.603   |   11w |           |      |                                |             |      |                  |            |    |
Ir I      |           454.568   |    55 |           |      |                                |             |      |                  |            |    |
Ir I      |           454.848   |    30 |           |      |                                |             |      |                  |            |    |
Ir I      |           455.078   |    13 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           456.809   |    35 |           |      |                                |             |      |                  |            |    |
Ir I      |           457.002   |    18 |           |      |                                |             |      |                  |            |    |
Ir I      |           460.448   |    18 |           |      |                                |             |      |                  |            |    |
Ir I      |           461.639   |    75 |           |      |                                |             |      |                  |            |    |
Ir I      |           465.618   |    26 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           466.899   |   17w |           |      |                                |             |      |                  |            |    |
Ir I      |           470.888   |    21 |           |      |                                |             |      |                  |            |    |
Ir I      |           472.886   |    50 |           |      |                                |             |      |                  |            |    |
Ir I      |           473.186   |    21 |           |      |                                |             |      |                  |            |    |
Ir I      |           475.646   |    26 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           475.796   |    13 |           |      |                                |             |      |                  |            |    |
Ir I      |           477.816   |    65 |           |      |                                |             |      |                  |            |    |
Ir I      |           479.567   |    30 |           |      |                                |             |      |                  |            |    |
Ir I      |           480.714   |    10 |           |      |                                |             |      |                  |            |    |
Ir I      |           480.947   |    21 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           484.077   |    10 |           |      |                                |             |      |                  |            |    |
Ir I      |           484.538   |    17 |           |      |                                |             |      |                  |            |    |
Ir I      |           491.336   |     6 | 3.3e+06   |      |                                |             |      |                  |            |    |
Ir I      |           493.809   |    50 |           |      |                                |             |      |                  |            |    |
Ir I      |           493.9173  |    18 | 2.5e+05   |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           497.048   |    26 |           |      |                                |             |      |                  |            |    |
Ir I      |           499.974   |    25 |           |      |                                |             |      |                  |            |    |
Ir I      |           500.274   |    25 |           |      |                                |             |      |                  |            |    |
Ir I      |           500.917   |    17 |           |      |                                |             |      |                  |            |    |
Ir I      |           501.498   |    30 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           504.606   |    17 |           |      |                                |             |      |                  |            |    |
Ir I      |           512.366   |    30 |           |      |                                |             |      |                  |            |    |
Ir I      |           517.795   |    20 |           |      |                                |             |      |                  |            |    |
Ir I      |           523.892   |    22 |           |      |                                |             |      |                  |            |    |
Ir I      |           534.074   |    12 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           536.432   |    35 |           |      |                                |             |      |                  |            |    |
Ir I      |           544.950   |    75 |           |      |                                |             |      |                  |            |    |
Ir I      |           545.450   |    30 |           |      |                                |             |      |                  |            |    |
Ir I      |           546.940   |     7 |           |      |                                |             |      |                  |            |    |
Ir I      |           562.004   |    10 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           562.555   |    45 |           |      |                                |             |      |                  |            |    |
Ir I      |           582.855   |    10 |           |      |                                |             |      |                  |            |    |
Ir I      |           588.230   |    10 |           |      |                                |             |      |                  |            |    |
Ir I      |           588.736   |     7 |           |      |                                |             |      |                  |            |    |
Ir I      |           589.406   |    35 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           602.610   |     7 |           |      |                                |             |      |                  |            |    |
Ir I      |           606.783   |    12 |           |      |                                |             |      |                  |            |    |
Ir I      |           611.067   |    20 |           |      |                                |             |      |                  |            |    |
Ir I      |           628.828   |    12 |           |      |                                |             |      |                  |            |    |
Ir I      |           633.444   |     7 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           662.473   |     5 |           |      |                                |             |      |                  |            |    |
Ir I      |           668.608   |    10 |           |      |                                |             |      |                  |            |    |
Ir I      |           683.001   |     5 |           |      |                                |             |      |                  |            |    |
Ir I      |           692.988   |     5 |           |      |                                |             |      |                  |            |    |
Ir I      |           718.371   |     4 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           783.432   |     6 |           |      |                                |             |      |                  |            |    |
